Query,Iterazione,Tempo_ms,DBMS
Query 1,1,2610.18,Neo4j Non Ottimale
Query 1,2,57.06,Neo4j Non Ottimale
Query 1,3,39.86,Neo4j Non Ottimale
Query 1,4,33.52,Neo4j Non Ottimale
Query 1,5,40.73,Neo4j Non Ottimale
Query 1,6,36.49,Neo4j Non Ottimale
Query 1,7,47.94,Neo4j Non Ottimale
Query 1,8,44.65,Neo4j Non Ottimale
Query 1,9,40.72,Neo4j Non Ottimale
Query 1,10,33.08,Neo4j Non Ottimale
Query 2,1,221.68,Neo4j Non Ottimale
Query 2,2,58.58,Neo4j Non Ottimale
Query 2,3,52.92,Neo4j Non Ottimale
Query 2,4,50.32,Neo4j Non Ottimale
Query 2,5,53.09,Neo4j Non Ottimale
Query 2,6,50.8,Neo4j Non Ottimale
Query 2,7,48.41,Neo4j Non Ottimale
Query 2,8,51.95,Neo4j Non Ottimale
Query 2,9,56.27,Neo4j Non Ottimale
Query 2,10,47.69,Neo4j Non Ottimale
Query 3,1,677.92,Neo4j Non Ottimale
Query 3,2,427.03,Neo4j Non Ottimale
Query 3,3,461.23,Neo4j Non Ottimale
Query 3,4,437.2,Neo4j Non Ottimale
Query 3,5,427.56,Neo4j Non Ottimale
Query 3,6,365.34,Neo4j Non Ottimale
Query 3,7,355.08,Neo4j Non Ottimale
Query 3,8,352.4,Neo4j Non Ottimale
Query 3,9,343.76,Neo4j Non Ottimale
Query 3,10,366.01,Neo4j Non Ottimale
Query 4,1,423.24,Neo4j Non Ottimale
Query 4,2,274.8,Neo4j Non Ottimale
Query 4,3,266.92,Neo4j Non Ottimale
Query 4,4,234.43,Neo4j Non Ottimale
Query 4,5,246.71,Neo4j Non Ottimale
Query 4,6,257.04,Neo4j Non Ottimale
Query 4,7,259.33,Neo4j Non Ottimale
Query 4,8,265.04,Neo4j Non Ottimale
Query 4,9,253.53,Neo4j Non Ottimale
Query 4,10,213.95,Neo4j Non Ottimale
Query 5,1,137.78,Neo4j Non Ottimale
Query 5,2,54.53,Neo4j Non Ottimale
Query 5,3,40.98,Neo4j Non Ottimale
Query 5,4,43.42,Neo4j Non Ottimale
Query 5,5,42.04,Neo4j Non Ottimale
Query 5,6,48.11,Neo4j Non Ottimale
Query 5,7,50.06,Neo4j Non Ottimale
Query 5,8,45.23,Neo4j Non Ottimale
Query 5,9,44.53,Neo4j Non Ottimale
Query 5,10,42.07,Neo4j Non Ottimale
