Query,Iterazione,Tempo_ms,DBMS
Query 1,1,31.45,PostgreSQL
Query 1,2,0.55,PostgreSQL
Query 1,3,0.44,PostgreSQL
Query 1,4,0.37,PostgreSQL
Query 1,5,0.51,PostgreSQL
Query 1,6,0.45,PostgreSQL
Query 1,7,0.46,PostgreSQL
Query 1,8,0.43,PostgreSQL
Query 1,9,0.39,PostgreSQL
Query 1,10,0.38,PostgreSQL
Query 2,1,19.1,PostgreSQL
Query 2,2,3.62,PostgreSQL
Query 2,3,2.96,PostgreSQL
Query 2,4,3.78,PostgreSQL
Query 2,5,3.33,PostgreSQL
Query 2,6,2.88,PostgreSQL
Query 2,7,2.86,PostgreSQL
Query 2,8,2.86,PostgreSQL
Query 2,9,3.53,PostgreSQL
Query 2,10,3.1,PostgreSQL
Query 3,1,180.56,PostgreSQL
Query 3,2,164.79,PostgreSQL
Query 3,3,172.91,PostgreSQL
Query 3,4,165.13,PostgreSQL
Query 3,5,160.99,PostgreSQL
Query 3,6,159.73,PostgreSQL
Query 3,7,166.79,PostgreSQL
Query 3,8,164.21,PostgreSQL
Query 3,9,166.71,PostgreSQL
Query 3,10,169.6,PostgreSQL
Query 4,1,51.36,PostgreSQL
Query 4,2,47.54,PostgreSQL
Query 4,3,47.4,PostgreSQL
Query 4,4,48.39,PostgreSQL
Query 4,5,47.45,PostgreSQL
Query 4,6,44.2,PostgreSQL
Query 4,7,49.6,PostgreSQL
Query 4,8,45.67,PostgreSQL
Query 4,9,46.01,PostgreSQL
Query 4,10,49.0,PostgreSQL
Query 5,1,22.3,PostgreSQL
Query 5,2,13.76,PostgreSQL
Query 5,3,14.49,PostgreSQL
Query 5,4,14.05,PostgreSQL
Query 5,5,12.85,PostgreSQL
Query 5,6,13.78,PostgreSQL
Query 5,7,12.73,PostgreSQL
Query 5,8,13.7,PostgreSQL
Query 5,9,12.72,PostgreSQL
Query 5,10,12.01,PostgreSQL
